X,Y,OBJECTID,STATUS,ORIG_PERMIT,CURRENT_PERMITNUM,CONSULTNUM,X_COORD,Y_COORD,BORE_DEPTH,BORE_DIAMETER,SCREEN_INTERVAL,WELL_TYPE_VALUE,WELL_PURPOSE_VALUE,GlobalID,CASING_DEPTH,CASING_DIAMETER,WELL_NBR,WATER_SYSTEM_NAME
-122.101842677682,37.3712753725194,19755,Abandoned,,, ,6096207.0,1961640.0,0.0,,,Water Production,Municipal,b1f6d9e8-dca3-430e-80fc-1ee7a16b2337,,0.0,06S02W32B002,CWSC LOS ALTOS SUBURBAN
-122.07441376224,37.3613975590179,19774,Abandoned,,, ,6104116.0,1957909.0,0.0,,,Water Production,Municipal,5df34ffa-9948-4777-978c-82021dafa842,,0.0,06S02W34N002,CWSC LOS ALTOS SUBURBAN
-121.554349861593,36.9979885882476,19786,Water Supply - Active,,, ,6253757.0,1823476.0,0.0,,,Water Production,Municipal,0c6295ae-6274-4e62-910f-c4dfd1b8471d,,0.0,11S04E08C001,CITY OF GILROY
-122.0467571634,37.3594451937541,19789,Abandoned,,, ,6112141.0,1957064.0,0.0,,,Water Production,Municipal,f7295505-3e24-41e7-8a55-f8451d99c12c,,0.0,06S02W35Q001,CITY OF SUNNYVALE
-122.119243707692,37.4011743972702,19825,Abandoned,,, ,6091339.0,1972611.0,0.0,,,Water Production,Municipal,141900d7-0968-4692-8b17-4d2ad7245194,,0.0,06S02W19B001,CWSC LOS ALTOS SUBURBAN
-121.807075819101,37.2522740017182,19917,Abandoned,,, ,6181249.0,1916984.0,0.0,,,Water Production,Municipal,f9319e69-b4f7-4a87-abb3-b9eaf8899b33,,0.0,08S01E12H002,GREAT OAKS WC INC
-122.085238789299,37.416398065929,19920,Abandoned,,, ,6101310.0,1977985.0,0.0,,,Water Production,Municipal,02f2988d-50e0-4dcd-a1e4-097f1164df12,,0.0,06S02W16B006,CITY OF MOUNTAIN VIEW
-121.996890936377,37.4006392561491,19986,Abandoned,,, ,6126872.0,1971825.0,0.0,,,Water Production,Municipal,7cb4b577-cf2e-4a38-82e9-e585031e8a0a,,0.0,06S01W20C001,CITY OF SUNNYVALE
-121.836743190704,37.3156411404469,20038,Destroyed,01W01184,D20150831008,MW-7,6172944.0,1940176.0,20.0,,,Water Production,Municipal,ee432aba-ce4c-43c0-a92e-30133e8f707b,,4.0,07S01E23D054,SAN JOSE WATER
-122.055053531749,37.4012200242092,20076,Destroyed,85W0990,98D00380,RW-10A,6109983.0,1972312.0,40.0,,,Water Production,Municipal,e014c413-384f-4c46-b5fa-5393ce7dc474,,6.0,06S02W23C004,CITY OF MOUNTAIN VIEW
-122.056030019327,37.4026401344346,20085,Destroyed,87W1589,99D00874,RW-17A,6109708.0,1972834.0,27.0,,,Water Production,Municipal,59bd3b81-ea50-495a-bc83-6ee2279b1024,,6.0,06S02W23D014,CITY OF MOUNTAIN VIEW
-121.910586983389,37.3949427882305,20142,Other - Active,02W00526,02W00526,MW-14,6151907.0,1969362.0,25.0,,,Water Production,Municipal,40a51c5e-4d68-425b-961d-686857dc86dc,25.0,4.0,06S01E19M055,SAN JOSE WATER
-122.045652690148,37.3948874884866,20231,Destroyed,91W1472,93D0133,MW-7,6112675.0,1969961.0,30.0,,,Water Production,Municipal,a7ee43e6-4116-4a13-8443-59a3e1c19fb6,,5.0,06S02W23J003,CITY OF SUNNYVALE
-122.144814294476,37.4215248735397,20249,Destroyed,,87D0147, ,6084043.0,1980150.0,0.0,,,Water Production,Municipal,06ec4686-3c15-49fa-bf26-bdf86bce939a,,0.0,06S03W12P001,CITY OF PALO ALTO
-122.137354322335,37.4011481851568,20251,Destroyed,,89D0162, ,6086079.0,1972693.0,0.0,,,Water Production,Municipal,3b36777a-b9c9-4a84-868d-dfba641cd9ca,,0.0,06S03W24B001,CITY OF PALO ALTO
-121.891196856965,37.3511662349476,20263,Destroyed,,88D0017, ,6157302.0,1953340.0,0.0,,,Water Production,Municipal,55789c5d-c3b5-4f19-851a-599cc41921d0,,0.0,07S01E05M002,SAN JOSE WATER
-121.892312446868,37.3488859625665,20266,Abandoned,,, ,6156966.0,1952515.0,0.0,,,Water Production,Municipal,0ec6b2be-511d-4b13-bde2-e59edc9e4460,,0.0,07S01E05N001,SAN JOSE WATER
-122.147460686387,37.4259647057239,20273,Destroyed,01W01626,14D00319,E-5B,6083303.0,1981779.0,0.0,,,Water Production,Municipal,079c08cf-e745-4043-87cc-8bc110536a7f,,4.0,06S03W12E062,CITY OF PALO ALTO
-121.885863205187,37.3386627429407,20275,Destroyed,,95D00372, ,6158785.0,1948765.0,0.0,,,Water Production,Municipal,e1911bcc-c11c-417c-941b-798a469310d2,,0.0,07S01E08G001,SAN JOSE WATER
-122.147482053714,37.4259632696749,20276,Destroyed,01W01625,14D00320,E-5,6083297.0,1981779.0,0.0,,,Water Production,Municipal,d39321f0-c01a-4b5c-8fa0-af33172d51f0,,4.0,06S03W12E063,CITY OF PALO ALTO
-122.10190154608,37.4035509659881,20287,Destroyed,01W00258,D20150804004,DP-4,6096391.0,1973390.0,27.0,,,Water Production,Municipal,ec455644-e5ff-45cd-87cb-61aa417e34ce,,4.0,06S02W17Q132,CITY OF MOUNTAIN VIEW
-122.101606776495,37.4034533560146,20290,Destroyed,01W00261,D20150804007,DP-7,6096476.0,1973353.0,30.0,,,Water Production,Municipal,2399e2a3-754e-436d-9810-3b05ceef335c,,4.0,06S02W17Q134,CITY OF MOUNTAIN VIEW
